Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
54,9025.000000000000000,734,132,369,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,Barren or Sparse,North Cascades National Park,National Park
55,8513.000000000000000,738,6,369,10680_1_7,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland,-9999,-9999,-9999,-9999,UN,North Cascades National Park,National Park
56,14097.000000000000000,731,2,369,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,-9999,64,B,North Cascades National Park,National Park
57,4831.000000000000000,731,1,369,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,-9999,64,A,North Cascades National Park,National Park
58,12934.000000000000000,741,1,369,10840_1,North Pacific Montane Shrubland,Shrubland,10975,-9999,-9999,10975,A,North Cascades National Park,National Park
59,13579.000000000000000,740,1,369,10830_1,North Pacific Avalanche Chute Shrubland,Shrubland,998,-9999,-9999,998,A,North Cascades National Park,National Park
60,38323.000000000000000,738,132,369,10680_1_7,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland,-9999,-9999,-9999,-9999,Barren or Sparse,North Cascades National Park,National Park
61,10398.000000000000000,731,132,369,10460_1_7_9,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,345,79,-9999,64,Barren or Sparse,North Cascades National Park,National Park
62,14589.000000000000000,756,132,369,11710_1,North Pacific Alpine and Subalpine Dry Grassland,Grassland,504,-9999,-9999,504,Barren or Sparse,North Cascades National Park,National Park
63,18235.000000000000000,740,2,369,10830_1,North Pacific Avalanche Chute Shrubland,Shrubland,998,-9999,-9999,998,B,North Cascades National Park,National Park
64,9739.000000000000000,734,1,369,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,A,North Cascades National Park,National Park
