Value,Count,LC20_BPS_220,LC24_SCla_250,nps_4kplus,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL,UNIT_NAME,UNIT_TYPE
155,468.000000000000000,753,3,371,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,-9999,155,C,Ross Lake National Recreation Area,National Recreation Area
156,4259.000000000000000,729,1,371,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,-9999,1172,A,Ross Lake National Recreation Area,National Recreation Area
157,975.000000000000000,726,1,371,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,-9999,-9999,404,A,Ross Lake National Recreation Area,National Recreation Area
158,2865.000000000000000,724,1,371,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,A,Ross Lake National Recreation Area,National Recreation Area
159,4196.000000000000000,31,132,371,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,Barren or Sparse,Ross Lake National Recreation Area,National Recreation Area
160,57829.000000000000000,11,111,371,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water,Ross Lake National Recreation Area,National Recreation Area
161,215.000000000000000,730,3,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,C,Ross Lake National Recreation Area,National Recreation Area
162,1539.000000000000000,750,1,371,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,A,Ross Lake National Recreation Area,National Recreation Area
163,176.000000000000000,727,7,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,UE,Ross Lake National Recreation Area,National Recreation Area
164,2493.000000000000000,759,1,371,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,-9999,-9999,-9999,-9999,A,Ross Lake National Recreation Area,National Recreation Area
165,3579.000000000000000,725,2,371,10380_1_7,North Pacific Maritime Mesic Subalpine Parkland,Conifer,5183,-9999,-9999,5183,B,Ross Lake National Recreation Area,National Recreation Area
166,2555.000000000000000,727,1,371,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,-9999,3461,A,Ross Lake National Recreation Area,National Recreation Area
167,291.000000000000000,750,2,371,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,B,Ross Lake National Recreation Area,National Recreation Area
168,147.000000000000000,744,6,369,11230_1_7_8_9,Columbia Plateau Steppe and Grassland,Grassland,39,-9999,-9999,39,UN,North Cascades National Park,National Park
169,1896.000000000000000,734,5,371,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,-9999,93,E,Ross Lake National Recreation Area,National Recreation Area
170,1.000000000000000,746,1,371,11250_1_7_8_9_10_19,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,59,-9999,-9999,59,A,Ross Lake National Recreation Area,National Recreation Area
171,9895.000000000000000,724,4,371,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,-9999,80,D,Ross Lake National Recreation Area,National Recreation Area
172,208.000000000000000,730,1,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,A,Ross Lake National Recreation Area,National Recreation Area
173,86.000000000000000,750,7,371,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,UE,Ross Lake National Recreation Area,National Recreation Area
174,2.000000000000000,730,120,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,Developed,Ross Lake National Recreation Area,National Recreation Area
175,56.000000000000000,730,7,371,10450_1_7_8_9,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,184,107,32,22,UE,Ross Lake National Recreation Area,National Recreation Area
176,1.000000000000000,722,5,371,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,367,70,90,35,E,Ross Lake National Recreation Area,National Recreation Area
177,681.000000000000000,750,120,371,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,-9999,-9999,749,Developed,Ross Lake National Recreation Area,National Recreation Area
178,147.000000000000000,721,4,371,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,D,Ross Lake National Recreation Area,National Recreation Area
